detailedItemId,detailedItemName,itemId
DITM-000095,Correctional Furniture - Beds,ITM-002978
DITM-000094,Coffee Machine,ITM-002290
DITM-000093,Chandeliers,ITM-001647
DITM-000092,Carpet Tiles,ITM-001722
DITM-000091,Carpet - Wool,ITM-001717
DITM-000090,Carpet - Synthetic,ITM-001721
DITM-000089,Carbon Monoxide Detectors,ITM-002329
DITM-000088,Bidets,ITM-009759
DITM-000087,Baths,ITM-008007
DITM-000086,Basins/Sinks,ITM-001527
DITM-000085,Barbecue and Grills,ITM-002620
DITM-000084,Acoustic Panels/Tiles,ITM-003172
DITM-000083,Access Control,ITM-002431
DITM-000082,Ultra-fast charge (350kW),ITM-008430
DITM-000081,Software,ITM-002304
DITM-000075,Wave Energy Generation Solutions,ITM-009850
DITM-000074,Vanadium Redox Flow Battery (VRFB),ITM-004280
DITM-000073,Valves and Controls - Transesterification,ITM-001601
DITM-000072,Tubrine Gate Valve,ITM-003573
DITM-000071,Transesterification Reactor (Pressure Vessel),ITM-009846
DITM-000070,Thermal Energy Storage System,ITM-009849
DITM-000068,Steel Pipes - Anaerobic Digestion,ITM-001553
DITM-000067,Steam Boiler - Pyrolysis Heating System,ITM-002713
DITM-000066,Rotary Lobe Pumps - Anaerobic Digestion,ITM-001591
DITM-000065,Reversible pump turbine/francis turbine,ITM-009854
DITM-000064,Redox Flow Battery (RFB),ITM-004280
DITM-000063,Pyrolysis Plant,ITM-009847
DITM-000062,Project Management/ Consultancy,ITM-002179
DITM-000059,Metalwork,ITM-002523
DITM-000058,Metal Fabrication,ITM-002523
DITM-000057,Maintenance,ITM-002176
DITM-000054,Hot Oil Heaters - Pyrolysis Heating System,ITM-009847
DITM-000053,Heating System - Pyrolysis,ITM-009847
DITM-000052,Heat Exchangers,ITM-009851
DITM-000051,Flywheel Energy Storage System,ITM-009835
DITM-000050,Engineering,ITM-001671
DITM-000049,Earthworks,ITM-001543
DITM-000048,Draft Tube Gate,ITM-009853
DITM-000047,Construction/ Concrete Works,ITM-003539
DITM-000046,Concentrated Solar Power/Thermal System,ITM-009849
DITM-000045,Compressed Air Systems,ITM-002679
DITM-000044,Compressed Air Energy Storage,ITM-009852
DITM-000043,Burners - Pyrolysis Heating System,ITM-009847
DITM-000042,Boilers - Pyrolysis Heating System,ITM-009848
DITM-000041,Biodiesel Production - Transesterification,ITM-009845
DITM-000040,Anaerobic Digester - Anaerobic Digestion,ITM-009405
DITM-000039,Agitators & Stirrers/Mixers - Anaerobic Digestion,ITM-003537
DITM-000038,Vibratory Finishing/ Tumbling Equipment,ITM-009888
DITM-000037,Vat Photopolymerisation,ITM-009869
DITM-000036,Thermoplastic polymer powders,ITM-009880
DITM-000035,Thermoplastic Pellets,ITM-009878
DITM-000034,Thermoplastic Filament,ITM-009877
DITM-000033,Temperature-Controlled Furnace,ITM-009891
DITM-000032,System Integrators,ITM-006123
