organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-010581,001ON00000JFZRI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017853,001ON00000JFZRI,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017864,001ON00000JFZVB,ITM-009904,DITM-000512,Wholesaler,2025-06-01,SM-000484
OC-010737,001ON00000JFZVH,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017865,001ON00000JFZVH,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010741,001ON00000JFZWN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017875,001ON00000JFZWN,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010745,001ON00000JFZX6,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017879,001ON00000JFZX6,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010746,001ON00000JFZXC,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017880,001ON00000JFZXC,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010748,001ON00000JFZXX,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017884,001ON00000JFZXX,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010749,001ON00000JFA1G,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017885,001ON00000JFA1G,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010817,001ON00000JFA28,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010753,001ON00000JFA28,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017978,001ON00000JFA28,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017889,001ON00000JFA28,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010844,001ON00000JFA31,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018019,001ON00000JFA31,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017896,001ON00000JFA38,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
