Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,air compressor,ITM-002679,Compressor,OC-013504,,001On00000JfaFP,Item Supplier,1/06/2025,"2-6 Huntsmore Road,",Minto,NSW,2567,,,"2-6 Huntsmore Road, Minto, NSW, 2567",-34.0362799,150.8372196,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013601,,001On00000JfaFc,Service Provider,1/06/2025,"379 Somerville Road,",West Footscray,VIC,3012,,,"379 Somerville Road, West Footscray, VIC, 3012",-37.8109711,144.864351,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013602,,001On00000JfaFh,Service Provider,1/06/2025,"Unit 5, 333 Canterbury Road,",Canterbury,VIC,3126,,,"Unit 5, 333 Canterbury Road, Canterbury, VIC, 3126",-37.8244372,145.0860933,photon,success
,,air compressor,ITM-002679,Compressor,OC-013605,,001On00000JfaGM,Service Provider,1/06/2025,"90-92 Boundary Road,",Sunshine West,0,3020,,,"90-92 Boundary Road, Sunshine West, 0, 3020",-37.8156875,144.8152635,photon,success
,,air compressor,ITM-002679,Compressor,OC-013608,,001On00000JfaGk,Service Provider,1/06/2025,"4 Huntsmore Road, ",Minto,NSW,2566,,,"4 Huntsmore Road, Minto, NSW, 2566",-34.0362799,150.8372196,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013508,,001On00000JfaKS,Item Supplier,1/06/2025,"1, 46 Mullingar Way",LANDSDALE,WA,6065,,,"1, 46 Mullingar Way, LANDSDALE, WA, 6065",44.51509799228968,-79.99036631206326,photon,success
,,air compressor,ITM-002679,Compressor,OC-013614,,001On00000JfaNQ,Service Provider,1/06/2025,"Bayside Industrial Coating, 5 Cashmore Rd",Portland,VIC ,3305,,,"Bayside Industrial Coating, 5 Cashmore Rd, Portland, VIC, 3305",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013616,,001On00000JfaNc,Service Provider,1/06/2025,"115 Beaconsfield Street,",Silverwater,NSW,2141,,,"115 Beaconsfield Street, Silverwater, NSW, 2141",-33.837067,151.036878,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013619,,001On00000JfaOd,Service Provider,1/06/2025,"35 Redfern Drive,",Pambula,NSW,2549,,,"35 Redfern Drive, Pambula, NSW, 2549",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013618,,001On00000JfaOd,Service Provider,1/06/2025,"35 Redfern Drive,",Pambula,NSW,2549,,,"35 Redfern Drive, Pambula, NSW, 2549",,,,failed
